ss_number,first_name,last_name,email,birthday,gender,city,sys,dia,overweight
2435111517,Bellanca,Hancill,bhancill0@parallels.com,5/24/1977,Female,Barcelona,138.681,96,false
0156178427,Brody,Sneezem,bsneezem1@bizjournals.com,11/5/1969,Male,Bilbao,92.5994,72,true
5365657039,Hatty,Roumier,hroumier2@qq.com,3/21/1957,Female,Bilbao,120.6066,63,true
9454941313,Rowland,Rowston,rrowston3@google.de,7/1/1960,Male,Valencia,92.9516,96,false
7946598092,Thorndike,Kimmitt,tkimmitt4@sphinn.com,2/19/1971,Male,Barcelona,158.9144,105,true
8447023281,Jed,Gowrie,jgowrie5@sciencedirect.com,2/15/1958,Male,Bilbao,175.8011,106,false
6154862210,Talia,Boagey,tboagey6@wsj.com,7/29/1974,Female,Sevilla,108.2147,109,true
,Alvis,Ryrie,aryrie7@com.com,3/26/1975,Male,Barcelona,97.6603,115,true
8497736680,Berty,McKie,bmckie8@rakuten.co.jp,9/5/1978,Female,Bilbao,142.4008,68,true
3538868271,Persis,Arnal,parnal9@census.gov,10/19/1980,Female,Valencia,180.4507,98,true
8401845785,Linn,Ganter,lgantera@economist.com,7/24/1950,Female,Valencia,136.9455,104,true
6158526142,Raphael,Begwell,rbegwellb@furl.net,2/6/1957,Male,Madrid,174.765,103,true
3094358896,Granthem,Clarricoates,gclarricoatesc@printfriendly.com,,Male,Barcelona,119.2905,64,false
6157811056,Georgie,Speller,gspellerd@nasa.gov,12/2/1970,Female,Bilbao,120.292,119,false
9698655905,Wolfgang,Jellyman,wjellymane@princeton.edu,8/25/1957,Male,Barcelona,164.399,90,
0514725680,Alta,Feak,afeakf@skype.com,2/2/1971,,,180.1887,109,true
3720597741,Moira,McGraith,mmcgraithg@marriott.com,9/1/1959,Female,Madrid,189.9111,113,true
0544262360,Heath,Patriskson,hpatrisksonh@cbslocal.com,11/13/1959,Male,Valencia,138.9737,79,false
0651453445,Ruthanne,Silvester,rsilvesteri@parallels.com,8/1/1979,Female,Sevilla,134.1499,117,false
8152572837,Bunnie,Mc Corley,bmccorleyj@wikipedia.org,12/25/1978,,,131.1935,83,true
4075573559,Baryram,Rogans,brogansk@aol.com,4/25/1959,Male,Valencia,106.5568,113,true
5472250331,Ermengarde,Enric,eenricl@howstuffworks.com,1/25/1977,Female,Valencia,95.6035,101,false
7969886469,Jacques,Jessup,jjessupm@csmonitor.com,12/13/1956,Male,Bilbao,140.8076,72,true
5975391040,Jephthah,Dmiterko,jdmiterkon@youtube.com,4/30/1961,Male,Madrid,171.3788,85,false
2696458529,Alis,Daggett,adaggetto@gmpg.org,12/9/1966,Female,Valencia,120.206,60,false
0430595662,Donielle,Devereux,ddevereuxp@skype.com,10/26/1956,,,137.1854,74,true
0522998291,Krista,Rains,krainsq@a8.net,4/24/1980,Female,Sevilla,80.0813,74,true
